Usage_Hours,Engine_Temperature,Tire_Pressure,Oil_Quality,Battery_Voltage,Vibration_Level,Maintenance_Cost,Vehicle_Type,Brake_Condition,Anomalies_Detected,Failure_History,Maintenance_Required
9537.8,102.8,35.1,10.2,14.6,2.82,2039.59,Bus,ok,0,0,1
5298.0,97.4,37.6,18.8,13.7,3.33,$206.11,Car,Good,0,1,1
1421.6,111.8,Missing,20.9,13.3,2.49,577.98,Car,Poor,0,0,1
5009.2,70.4,31.6,46.5,13.7,0.63,$1973.24,Truck,Good,0,0,0
5215.2,175.46 °F,31.4,88.8,13.2,0.93,$680.86,Truck,Bad,0,0,0
11079.3,171.86 °F,31.8,Missing,13.4,2.09,$1771.58,Truck,Good,0,0,0
9744.6,85.5,40.2,Missing,11.5,1.86,$101.89,Car,gud,0,0,0
13364.6,100.3,34.7,29.7,12.6,2.88,688.13,Truck,Poor,0,0,1
7347.1,73.3,37.1,41.5,12.4,1.33,$1374.57,Truck,Good,0,1,0
2234.1,97.5,35.4,89.3,13.7,3.17,424.86,Car,G,0,0,0
10842.0,81.2,47.3,28.1,13.7,2.76,207.16,Car,G,0,0,0
11531.4,84.8,40.0,73.3,12.6,1.02,$287.46,Car,gud,0,0,0
8638.5,93.0,34.9,86.4,11.2,0.58,2542.99,Bus,ok,1,0,0
11679.0,115.2,33.7,56.2,13.9,2.23,190.57,Car,gud,0,0,1
7660.0,79.3,31.5,65.4,14.0,3.82,$241.23,Car,Fair,0,1,0
8079.6,191.84 °F,30.1,58.6,13.1,0.94,$481.28,Car,P,0,0,0
6699.3,164.84 °F,29.0,78.5,13.5,2.51,496.92,Car,G,0,0,0
868.6,79.2,39.9,57.1,Missing,2.63,$1249.53,Truck,G,0,0,0
2064.4,73.7,30.5,94.8,14.6,1.71,$1534.7,Truck,gud,1,0,0
955.7,93.7,38.2,87.9,11.9,3.23,$482.27,Car,G,0,0,0
9728.0,96.4,32.5,77.5,14.1,Missing,2296.64,Bus,G,0,0,0
5058.2,100.3,31.2,39.9,13.2,3.14,$407.2,Car,Fair,0,0,1
7874.3,78.7,33.3,64.3,13.0,1.4,567.5,Car,P,1,0,1
13659.7,207.68 °F,44.0,Missing,12.9,1.17,$815.54,Truck,ok,1,0,1
4114.7,197.06 °F,50.2,45.7,13.1,1.15,$416.02,Truck,Fair,0,0,0
6450.6,192.38 °F,33.2,58.7,14.3,4.27,$441.35,Truck,Fair,0,0,1
11455.5,71.4,32.7,41.2,15.0,3.27,$2783.94,Bus,Poor,0,0,0
3817.6,92.3,39.8,18.2,11.8,1.46,131.58,Car,G,0,0,0
1616.2,199.04 °F,35.8,38.1,14.8,2.89,$536.77,Truck,Good,0,0,0
4701.4,91.5,31.7,93.0,12.0,1.88,2923.27,Bus,gud,0,1,0
2837.7,96.0,37.5,64.8,12.7,2.29,$1953.77,Truck,F,0,0,0
13980.6,100.4,38.8,27.7,14.3,3.88,587.19,Truck,Poor,0,0,1
12217.7,73.5,33.8,81.6,14.9,2.44,$1789.22,Truck,F,1,0,0
9684.4,86.7,33.9,91.5,13.4,0.87,444.78,Car,P,0,0,0
13136.2,97.7,43.6,60.3,13.2,2.68,$1190.99,Truck,G,0,0,1
12153.2,186.8 °F,30.9,48.9,11.4,0.75,$593.46,Car,gud,0,1,1
3205.3,104.4,32.3,42.4,11.9,3.02,1065.76,Truck,G,0,1,1
13442.1,91.4,32.7,24.8,12.4,4.59,$998.87,Truck,gud,0,1,1
8320.5,60.7,43.5,15.0,Missing,1.02,$643.16,Truck,gud,0,0,0
12207.9,102.6,25.1,29.5,13.1,1.33,$159.68,Car,G,0,1,1
13493.3,88.2,39.1,53.5,14.3,0.75,$668.24,Truck,Good,0,0,0
5111.1,63.5,34.9,14.7,12.2,Missing,$483.78,Car,gud,0,0,0
2095.8,86.2,44.1,98.1,14.1,2.48,1303.48,Truck,P,1,0,0
3805.1,71.0,36.8,72.6,13.0,2.79,$460.63,Car,Good,0,0,0
6693.1,101.3,24.2,40.9,13.2,1.32,$1173.95,Truck,ok,0,0,1
12361.2,89.5,43.1,48.5,12.5,2.06,396.99,Car,Fair,0,0,0
12980.6,76.1,33.8,99.0,12.8,1.78,$1554.23,Truck,G,1,0,0
600.8,102.2,24.8,41.8,13.9,1.58,2747.07,Bus,G,0,1,1
7905.8,96.9,33.0,23.8,14.3,1.22,$231.67,Car,gud,0,1,1
6552.5,86.5,35.2,49.2,13.2,2.55,$2268.77,Bus,gud,0,0,0
3720.6,71.3,29.8,27.9,15.7,1.46,$966.56,Truck,Good,1,0,0
2238.0,77.4,27.3,62.9,12.9,1.75,$283.25,Car,gud,0,1,0
5395.4,77.1,36.5,Missing,12.9,1.84,$1959.41,Truck,Good,0,0,0
14172.2,101.2,28.8,33.8,12.1,1.66,$335.33,Car,Fair,0,0,1
5186.4,148.64 °F,29.9,36.4,15.4,1.21,1766.33,Truck,F,0,0,0
8022.5,89.3,41.8,96.6,13.8,0.42,239.17,Car,Good,0,1,0
10693.8,86.2,Missing,43.9,12.4,Missing,$181.29,Car,gud,0,0,1
5772.6,105.5,28.9,94.4,15.3,1.61,$1054.38,Truck,P,0,1,1
14590.8,93.5,30.5,59.7,13.7,2.43,$451.48,Car,ok,0,0,1
14455.5,98.0,36.9,60.7,14.2,1.13,583.85,Car,P,0,0,1
4150.8,179.78 °F,37.1,17.6,14.8,0.92,$944.3,Truck,Good,0,0,0
7710.1,71.5,38.3,98.0,14.6,0.57,$383.79,Car,gud,0,0,0
4862.7,85.1,39.0,57.2,14.3,1.57,$1111.56,Truck,ok,1,1,0
4630.2,101.7,36.7,86.6,14.0,1.26,787.04,Truck,G,0,0,0
1034.9,101.6,38.0,72.0,14.1,4.31,$1575.58,Truck,gud,0,0,1
9338.7,182.3 °F,32.6,53.8,15.0,3.7,1120.16,Truck,Good,0,0,0
7788.8,77.1,29.4,72.1,13.6,1.8,$653.06,Truck,Good,0,0,0
1246.4,165.38 °F,Missing,19.9,12.9,0.51,$1019.55,Truck,gud,0,0,0
4540.4,88.0,39.4,15.2,12.9,2.89,$2966.11,Bus,gud,1,0,1
13669.9,92.0,33.6,42.0,12.8,0.98,550.66,Car,gud,0,0,1
3973.6,112.1,31.7,27.2,13.8,0.78,$1649.29,Truck,Bad,1,0,1
2601.0,91.8,46.4,89.7,15.1,0.66,$273.83,Car,ok,0,0,0
7597.1,210.56 °F,30.5,37.0,Missing,1.73,2084.57,Bus,Bad,1,1,1
14791.9,172.94 °F,36.1,69.6,12.4,1.97,2469.19,Bus,F,0,0,0
4009.8,90.6,Missing,92.0,Missing,1.18,578.84,Car,Poor,0,1,0
10246.0,92.1,32.9,15.6,12.9,1.73,$251.82,Car,G,0,0,1
11543.5,87.9,31.2,73.8,12.5,1.69,$497.16,Car,gud,0,0,0
3945.7,193.46 °F,24.2,10.9,13.5,3.76,$628.34,Truck,G,0,0,1
11059.1,91.9,37.0,87.3,Missing,0.47,856.73,Truck,gud,0,0,0
5832.9,97.2,38.3,98.6,13.0,1.18,469.64,Car,gud,1,1,1
9668.4,107.5,31.7,30.8,13.3,2.16,1434.46,Truck,G,0,0,1
9686.2,132.8 °F,48.0,24.5,13.7,1.21,406.7,Truck,Good,1,0,0
8268.7,106.7,36.4,54.9,13.3,1.9,$211.59,Car,gud,0,0,1
1809.2,64.3,35.8,95.6,13.9,1.59,335.67,Car,gud,0,0,0
12611.9,202.28 °F,36.9,36.9,9.9,1.19,$1279.89,Truck,P,0,0,1
5151.3,125.3,32.0,38.6,13.1,1.21,$366.27,Car,F,0,0,1
3204.5,89.4,30.1,65.8,13.7,2.88,$997.23,Truck,F,0,1,0
1091.2,198.86 °F,31.2,74.3,11.7,1.01,1381.67,Bus,P,1,0,1
9067.9,85.3,32.3,58.8,16.0,1.33,$324.66,Car,Fair,0,0,0
10324.7,100.0,37.8,30.1,12.6,2.08,545.7,Car,gud,0,0,1
740.5,95.4,33.1,91.2,Missing,2.01,$1063.5,Truck,Fair,0,0,0
7925.3,79.9,38.1,57.0,13.5,2.29,967.43,Truck,F,0,1,0
3784.2,190.94 °F,28.7,95.2,12.8,2.3,$204.3,Car,ok,0,0,0
9855.0,163.76000000000002 °F,31.8,52.9,15.4,1.54,209.07,Car,P,0,0,0
3028.3,88.2,31.4,Missing,13.1,1.17,$494.8,Car,Good,0,0,0
10518.6,182.66 °F,15.9,43.0,13.1,0.85,$467.82,Car,ok,0,0,1
6107.7,92.0,32.7,58.9,12.7,1.29,329.86,Car,G,0,0,0
14082.6,79.4,29.8,27.4,12.9,2.49,$1635.47,Bus,Fair,0,0,1
2494.1,188.24 °F,37.3,46.5,12.8,1.26,$781.49,Truck,G,0,0,0
5445.5,90.1,Missing,19.6,12.7,1.44,1822.5,Truck,ok,0,0,0
2145.4,91.2,28.0,90.3,12.7,1.3,2058.86,Bus,G,0,0,0
13908.1,94.1,33.8,96.2,11.2,1.56,394.69,Truck,Good,0,1,1
13221.4,87.4,28.6,51.0,13.4,1.32,1378.05,Truck,Good,0,0,1
4240.2,172.76000000000002 °F,36.6,90.5,12.2,1.61,1919.26,Truck,ok,0,0,0
10069.8,196.16 °F,31.6,26.0,13.3,1.59,203.33,Car,Good,0,0,1
12349.7,87.3,32.3,16.2,13.4,3.28,$2171.17,Bus,gud,0,0,0
8550.4,221.72000000000003 °F,33.9,39.5,12.9,1.69,700.41,Bus,ok,0,1,1
8179.9,107.3,36.4,31.5,13.5,1.72,$1945.52,Bus,Bad,0,0,1
4006.9,69.4,35.3,31.2,15.8,1.36,285.63,Car,F,1,1,1
1850.0,99.3,37.0,80.1,12.9,4.41,166.83,Car,P,0,1,0
13509.6,216.14 °F,38.6,83.3,13.5,1.41,266.52,Car,G,0,0,0
13556.1,69.8,34.3,Missing,11.8,0.34,$469.52,Car,Poor,0,0,1
9680.0,98.7,29.8,75.0,13.2,1.45,$442.77,Car,ok,0,0,0
5415.9,218.12 °F,27.0,35.5,13.9,Missing,377.53,Car,Good,0,0,1
5563.5,75.8,31.2,72.8,11.6,1.88,$503.29,Car,Poor,0,0,0
11026.4,86.5,36.1,77.9,14.0,2.68,952.21,Truck,Good,0,0,1
13508.1,92.8,28.1,94.9,11.0,0.81,289.34,Car,gud,0,0,1
13362.8,98.6,40.4,17.8,13.6,1.47,$330.91,Car,P,0,1,1
11808.2,167.36 °F,29.7,86.2,12.6,2.22,$2143.03,Bus,G,0,1,0
9809.5,107.4,34.4,24.5,13.0,1.14,$1120.52,Bus,F,0,0,1
1720.0,59.6,Missing,48.6,13.8,2.34,444.89,Car,P,0,0,0
2843.6,109.9,34.1,10.6,13.1,1.95,854.14,Bus,ok,0,0,1
13529.0,98.3,29.5,95.8,13.8,1.86,1639.51,Truck,ok,0,0,1
9293.2,80.7,22.4,96.7,Missing,1.26,$286.42,Car,Good,0,0,0
633.4,103.0,37.0,96.2,15.9,1.36,$635.14,Truck,Good,0,0,0
1971.3,74.3,36.6,18.1,13.5,1.42,$1817.26,Truck,ok,0,0,0
10120.8,197.06 °F,37.9,37.8,13.7,2.29,$175.1,Car,P,0,0,1
573.4,93.6,35.6,45.9,Missing,2.48,$1225.35,Truck,P,0,0,1
2831.7,200.3 °F,32.3,98.1,13.1,1.57,$360.98,Car,Good,0,0,0
8456.6,77.4,31.1,80.8,14.2,1.55,$254.76,Car,ok,1,0,0
10532.5,180.68 °F,35.2,68.3,14.2,1.47,566.58,Car,Good,0,0,0
9953.4,91.9,39.9,44.6,12.7,2.74,290.26,Car,F,0,0,0
3751.9,79.1,20.2,97.7,13.0,2.91,$459.9,Car,G,0,0,0
10826.6,94.1,39.7,74.1,13.2,2.21,$591.06,Car,Poor,1,0,1
3940.1,80.8,33.5,56.8,12.2,1.06,$618.04,Truck,ok,0,0,0
5218.3,105.0,34.2,56.5,12.6,1.51,$1290.73,Bus,Good,0,0,0
11324.1,236.12 °F,38.5,Missing,15.8,2.26,541.21,Car,P,0,1,1
9919.7,185.9 °F,34.1,44.1,17.6,1.75,519.03,Car,G,0,1,1
12813.7,103.8,36.1,22.4,15.3,1.51,$197.0,Car,G,1,1,1
10035.4,188.24 °F,26.8,76.4,14.0,1.47,212.81,Car,gud,0,0,1
8740.5,76.0,Missing,88.9,14.3,2.38,511.51,Car,gud,1,0,0
1858.3,182.48 °F,37.5,93.8,12.6,1.36,537.33,Car,gud,0,0,0
5831.9,91.3,33.0,98.0,13.9,2.2,2397.52,Bus,Poor,0,0,0
4345.4,63.2,33.3,29.4,13.3,Missing,$357.49,Car,F,0,0,0
4037.8,99.4,35.8,56.3,14.0,3.59,1579.36,Truck,G,0,0,0
14608.7,91.3,37.2,76.2,14.3,1.8,$715.04,Truck,Good,1,0,0
6199.9,105.0,42.6,68.0,13.6,2.86,298.83,Car,gud,0,0,1
13434.7,99.1,37.2,100.0,15.0,0.76,$1089.19,Bus,gud,0,1,0
9651.5,91.8,Missing,32.9,13.3,1.29,$1272.53,Truck,gud,0,0,1
12024.8,84.7,34.5,62.9,13.3,2.77,1498.37,Bus,Fair,0,0,0
7788.2,112.8,23.2,34.4,14.1,1.24,417.45,Car,ok,0,0,1
8865.1,122.5,32.9,70.4,15.6,1.62,$254.64,Car,Poor,0,0,1
7641.5,84.9,30.9,36.1,14.3,2.34,$1183.55,Truck,Good,0,0,0
3331.0,105.6,34.7,75.2,13.6,1.31,$1518.62,Truck,gud,0,1,0
10975.6,174.92000000000002 °F,33.4,67.5,13.8,3.32,431.96,Car,gud,0,0,0
4571.2,81.2,36.3,25.6,12.7,2.28,$2972.75,Bus,Bad,0,0,0
852.6,183.56 °F,31.6,30.2,14.3,1.14,1282.25,Truck,G,0,0,0
9859.3,100.3,36.1,53.3,11.7,Missing,1429.62,Bus,G,0,0,1
3068.1,73.9,36.8,73.2,13.4,1.82,103.62,Car,Good,0,0,0
14136.6,113.2,35.2,Missing,12.7,1.21,$1328.34,Truck,P,0,0,1
14332.0,104.1,27.7,35.7,14.2,2.14,$1700.52,Truck,gud,0,1,1
13765.5,99.9,39.5,21.2,12.1,1.65,$599.64,Car,Poor,0,0,1
5867.3,85.6,38.1,18.1,12.5,4.26,$439.19,Car,G,0,0,1
724.1,102.4,34.0,48.7,13.9,2.02,2100.7,Bus,Poor,0,0,0
13960.6,115.16000000000001 °F,25.9,30.1,14.7,3.4,$1479.8,Truck,Fair,0,0,0
6708.7,96.6,36.5,36.2,11.5,Missing,358.21,Car,gud,0,0,1
14516.5,92.4,32.4,66.6,10.9,2.39,$185.13,Car,gud,0,0,1
14472.5,61.7,32.3,71.0,12.8,0.91,107.85,Car,P,0,0,0
12868.6,96.1,Missing,13.1,15.9,2.09,$403.88,Car,gud,0,0,1
4769.5,98.9,42.3,40.7,13.0,2.08,396.43,Car,gud,0,0,0
6083.9,62.2,35.7,42.3,11.9,0.92,$393.66,Truck,G,0,0,0
12841.5,72.2,34.4,88.9,14.4,0.89,$327.49,Car,Fair,0,0,0
5095.4,121.0,32.4,50.5,12.7,1.97,1652.37,Truck,Fair,0,0,1
2957.6,188.96 °F,35.2,40.9,14.2,1.52,1800.65,Truck,Bad,0,1,0
8573.6,104.6,35.0,25.9,13.9,0.56,$402.3,Car,Fair,0,0,1
14074.2,106.9,38.0,85.9,12.4,3.17,$1178.43,Truck,gud,0,0,1
10592.4,95.9,32.3,89.0,13.2,1.55,416.6,Car,Bad,0,0,0
8765.9,105.3,30.9,97.7,14.9,0.61,$391.37,Car,P,0,0,0
1909.1,58.3,Missing,89.7,13.1,2.01,1247.79,Truck,Good,0,0,0
9417.6,187.70000000000002 °F,34.6,Missing,14.3,2.72,$164.82,Car,G,0,0,0
14855.8,43.8,34.9,54.5,13.5,1.94,573.92,Bus,gud,0,1,0
2531.2,146.84 °F,35.0,75.1,13.3,2.02,1235.34,Truck,gud,0,1,0
8015.8,81.8,30.0,64.1,12.4,1.44,1529.9,Truck,gud,1,0,1
13221.9,80.0,34.6,77.6,14.9,1.51,$233.89,Car,Good,0,0,0
11241.1,195.07999999999998 °F,38.4,73.5,10.6,4.4,1660.29,Truck,gud,0,0,1
10606.7,89.7,41.4,Missing,14.1,1.15,$541.78,Car,Fair,0,0,0
10686.0,92.0,39.9,52.6,13.7,4.8,$231.65,Car,F,0,0,0
5712.6,198.68 °F,34.7,68.8,12.2,2.33,$850.72,Truck,Good,0,0,0
4757.1,203.0 °F,Missing,Missing,13.0,1.13,$447.22,Truck,G,0,0,0
12235.7,75.6,41.2,50.8,14.0,0.78,890.95,Truck,Good,0,1,0
12246.6,79.1,34.5,Missing,12.8,2.28,502.1,Car,F,0,0,1
13072.5,89.4,39.3,86.7,12.0,0.79,$551.54,Car,F,0,1,0
13742.0,89.7,34.9,36.1,14.0,2.86,$483.16,Truck,F,0,0,1
7914.5,73.8,23.0,92.4,12.2,2.11,987.0,Truck,gud,0,0,0
7772.0,106.2,38.3,58.6,15.0,1.7,903.83,Truck,gud,0,0,1
12075.3,100.9,39.8,42.6,Missing,1.02,$1968.0,Truck,gud,0,0,1
9924.5,170.78 °F,33.4,46.1,14.8,1.45,717.38,Truck,Good,0,0,0
10678.5,86.9,29.2,59.1,11.8,1.81,$326.04,Truck,G,0,0,1
12039.0,120.1,42.6,38.9,13.4,0.84,265.99,Car,Good,0,0,1
13405.1,92.4,34.3,79.8,14.2,1.29,1529.51,Truck,P,0,0,1
5400.9,95.9,33.3,98.3,12.5,0.91,$1664.24,Truck,Fair,0,0,0
5946.0,80.9,37.2,83.9,15.0,2.32,$1222.27,Truck,ok,0,1,0
1862.7,185.54 °F,48.7,21.0,12.7,1.28,539.92,Car,gud,0,0,1
8885.1,112.7,37.4,39.6,14.7,0.83,$434.06,Car,gud,0,1,1
1021.2,91.7,35.9,56.3,13.8,1.91,2166.15,Bus,Fair,0,0,0
7251.2,192.02 °F,35.3,89.5,15.6,1.16,$406.96,Truck,G,0,1,0
8368.3,194.18 °F,43.3,51.7,15.2,1.46,$252.56,Car,F,0,0,0
4654.8,128.2,37.6,38.9,14.2,0.91,238.82,Car,gud,0,0,1
9067.1,90.6,39.3,79.8,12.4,2.36,$1452.32,Truck,Poor,0,0,1
942.3,77.5,36.5,76.5,14.2,0.73,560.96,Car,ok,0,1,0
1041.5,80.2,37.7,22.7,13.2,2.09,$325.76,Car,Good,0,0,0
12427.7,101.7,33.6,24.8,14.1,4.19,583.19,Car,Poor,0,0,1
5722.8,68.6,35.8,55.7,14.1,1.16,$412.45,Car,Good,0,0,0
2342.4,96.8,31.6,87.2,14.4,1.67,$581.56,Car,Fair,0,0,0
8072.5,79.1,32.5,35.2,14.3,1.54,1822.09,Truck,ok,0,0,1
11664.9,143.78 °F,Missing,67.0,14.6,1.01,410.31,Car,gud,0,0,0
3629.4,75.3,31.5,48.6,13.0,1.45,$596.72,Car,gud,0,1,0
9531.9,194.72000000000003 °F,35.7,12.1,12.0,0.95,$701.22,Truck,F,0,0,1
1737.5,231.62 °F,33.2,52.3,14.1,1.63,1208.41,Truck,Good,0,1,1
1249.4,103.7,29.4,67.2,12.8,1.43,$894.29,Bus,G,0,0,0
8204.6,85.6,36.1,Missing,13.7,1.19,$561.72,Car,Fair,0,0,0
8339.2,104.6,38.9,35.9,11.7,4.05,$313.87,Car,Good,0,0,1
9742.7,84.6,28.4,63.1,14.2,1.56,298.1,Car,Fair,1,0,1
11028.3,68.0,38.0,93.4,15.0,1.56,1209.66,Bus,Poor,0,1,0
14649.9,90.3,29.4,64.2,Missing,4.15,275.56,Car,Bad,0,1,1
7986.4,67.4,41.8,91.7,15.6,1.17,$1111.54,Truck,G,0,0,0
5182.9,101.9,37.8,63.4,14.9,0.94,1209.61,Truck,gud,0,0,0
12030.2,102.1,28.4,64.9,14.3,2.23,$522.99,Car,Bad,0,0,1
4427.1,76.8,39.3,Missing,13.4,1.42,$473.44,Car,Good,0,0,0
6865.1,92.2,31.9,77.5,14.0,2.85,123.82,Car,Good,0,1,0
1637.6,92.0,30.2,55.7,13.5,1.87,289.53,Car,Poor,0,0,0
867.6,217.57999999999998 °F,38.6,68.3,11.6,3.94,$171.46,Car,gud,0,0,0
14458.4,71.3,41.0,Missing,14.6,0.75,$157.23,Car,G,0,0,0
12621.7,210.20000000000002 °F,37.4,24.2,12.2,Missing,1122.88,Truck,G,0,0,1
10591.6,70.2,33.1,37.3,13.4,0.9,$331.65,Car,Good,0,0,0
6429.8,101.7,35.8,90.5,13.2,2.41,2970.6,Bus,Good,0,0,0
3012.8,105.9,32.1,31.6,Missing,1.74,$528.29,Car,gud,0,0,1
2768.3,80.0,34.1,67.4,Missing,3.77,375.66,Car,Good,1,0,0
